"filename", "language", "CMake", "C++", "C", "Batch", "Markdown", "Makefile", "Python", "Shell Script", "Lua", "CSS", "HTML", "YAML", "JSON", "Objective-C", "Objective-C++", "XML", "SCSS", "Groovy", "Log", "CMake Cache", "TypeScript", "JavaScript", "comment", "blank", "total"
"g:\Project\VsCode_project\Smooth.0.0.1\.idea\Smooth.0.0.1.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"g:\Project\VsCode_project\Smooth.0.0.1\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"g:\Project\VsCode_project\Smooth.0.0.1\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\cache-v2-5162b8d8398ace8343c3.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2004
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\cmakeFiles-v1-8f0ac1b9a9c6ce0a3676.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 294
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\codemodel-v2-f9da2637eed561390e68.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 307
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\directory-engine-Debug-776e2b00c6520ab49d05.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\directory-engine.3rdparty-Debug-a01bddc6c96620f7cf58.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\directory-engine.3rdparty.glfw-Debug-dd07e5bc539744218040.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\directory-engine.3rdparty.glfw.examples-Debug-fea51fa114b5928023ef.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\directory-engine.3rdparty.glfw.src-Debug-bbba48939f8af759d6f2.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\directory-engine.source.editor-Debug-703521419b5d61b12b4c.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"g:\Project\VsCode_project\Smooth.0.0.1\build\.cmake\api\v1\reply\directory-engine.source.runtime-Debug-de26ffd8537ce3617b7f.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
