Date : 2023-03-22 16:50:31
Directory : g:\Project\VsCode_project\Smooth
Total : 1985 files,  453018 codes, 70681 comments, 60085 blanks, all 583784 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C++           |        830 |    223,390 |     56,737 |     38,494 |    318,621 |
| HTML          |        699 |    143,955 |      3,478 |      6,891 |    154,324 |
| C             |        113 |     46,765 |      6,096 |      8,270 |     61,131 |
| JSON          |         26 |      7,564 |          0 |         24 |      7,588 |
| Markdown      |         38 |      5,820 |          1 |      2,102 |      7,923 |
| JavaScript    |         96 |      5,238 |        104 |        176 |      5,518 |
| XML           |         22 |      3,587 |          8 |         15 |      3,610 |
| Python        |          7 |      3,422 |      2,758 |        796 |      6,976 |
| Objective-C   |          5 |      2,920 |        343 |        707 |      3,970 |
| CSS           |          5 |      2,702 |         97 |        530 |      3,329 |
| Makefile      |         19 |      1,734 |        641 |        730 |      3,105 |
| CMake         |         73 |      1,645 |          0 |        383 |      2,028 |
| Objective-C++ |          6 |      1,580 |        328 |        362 |      2,270 |
| YAML          |          8 |        988 |         24 |         80 |      1,092 |
| Log           |          1 |        583 |          0 |        220 |        803 |
| CMake Cache   |          1 |        467 |          0 |        118 |        585 |
| SCSS          |          1 |        314 |         28 |         89 |        431 |
| Lua           |          4 |        149 |         16 |         44 |        209 |
| Batch         |         17 |        104 |         15 |         26 |        145 |
| Groovy        |          3 |         52 |          0 |         10 |         62 |
| Shell Script  |          2 |         21 |          7 |          9 |         37 |
| TypeScript    |          9 |         18 |          0 |          9 |         27 |
+---------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                |      1,985 |    453,018 |     70,681 |     60,085 |    583,784 |
| .idea                                                                                                                                            |          3 |         14 |          0 |          0 |         14 |
| build                                                                                                                                            |        108 |     13,016 |        817 |      1,683 |     15,516 |
| build (Files)                                                                                                                                    |          4 |        840 |         84 |        200 |      1,124 |
| build\.cmake                                                                                                                                     |         25 |      7,397 |          0 |         24 |      7,421 |
| build\.cmake\api                                                                                                                                 |         25 |      7,397 |          0 |         24 |      7,421 |
| build\.cmake\api\v1                                                                                                                              |         25 |      7,397 |          0 |         24 |      7,421 |
| build\.cmake\api\v1\query                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\query\client-vscode                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\reply                                                                                                                        |         24 |      7,396 |          0 |         24 |      7,420 |
| build\CMakeFiles                                                                                                                                 |         10 |      2,121 |        124 |        546 |      2,791 |
| build\CMakeFiles (Files)                                                                                                                         |          4 |        732 |          0 |        233 |        965 |
| build\CMakeFiles\3.23.2                                                                                                                          |          6 |      1,389 |        124 |        313 |      1,826 |
| build\CMakeFiles\3.23.2 (Files)                                                                                                                  |          4 |        135 |          0 |         45 |        180 |
| build\CMakeFiles\3.23.2\CompilerIdC                                                                                                              |          1 |        633 |         61 |        135 |        829 |
| build\CMakeFiles\3.23.2\CompilerIdCXX                                                                                                            |          1 |        621 |         63 |        133 |        817 |
| build\engine                                                                                                                                     |         69 |      2,658 |        609 |        913 |      4,180 |
| build\engine (Files)                                                                                                                             |          2 |        142 |         48 |         56 |        246 |
| build\engine\3rdparty                                                                                                                            |         53 |      1,829 |        414 |        621 |      2,864 |
| build\engine\3rdparty (Files)                                                                                                                    |          2 |        170 |         54 |         65 |        289 |
| build\engine\3rdparty\CMakeFiles                                                                                                                 |          7 |         59 |          0 |         23 |         82 |
| build\engine\3rdparty\CMakeFiles (Files)                                                                                                         |          1 |         12 |          0 |          5 |         17 |
| build\engine\3rdparty\CMakeFiles\glad.dir                                                                                                        |          3 |         28 |          0 |          9 |         37 |
| build\engine\3rdparty\CMakeFiles\stb.dir                                                                                                         |          3 |         19 |          0 |          9 |         28 |
| build\engine\3rdparty\glfw                                                                                                                       |         16 |        731 |        201 |        250 |      1,182 |
| build\engine\3rdparty\glfw (Files)                                                                                                               |          2 |        134 |         48 |         54 |        236 |
| build\engine\3rdparty\glfw\CMakeFiles                                                                                                            |          1 |         12 |          0 |          5 |         17 |
| build\engine\3rdparty\glfw\src                                                                                                                   |         13 |        585 |        153 |        191 |        929 |
| build\engine\3rdparty\glfw\src (Files)                                                                                                           |          5 |        480 |        153 |        167 |        800 |
| build\engine\3rdparty\glfw\src\CMakeFiles                                                                                                        |          8 |        105 |          0 |         24 |        129 |
| build\engine\3rdparty\glfw\src\CMakeFiles (Files)                                                                                                |          1 |         12 |          0 |          5 |         17 |
| build\engine\3rdparty\glfw\src\CMakeFiles\glfw.dir                                                                                               |          4 |         71 |          0 |         10 |         81 |
| build\engine\3rdparty\glfw\src\CMakeFiles\update_mappings.dir                                                                                    |          3 |         22 |          0 |          9 |         31 |
| build\engine\3rdparty\glm                                                                                                                        |         12 |        357 |        102 |        139 |        598 |
| build\engine\3rdparty\glm (Files)                                                                                                                |          3 |        141 |         48 |         56 |        245 |
| build\engine\3rdparty\glm\CMakeFiles                                                                                                             |          1 |         12 |          0 |          5 |         17 |
| build\engine\3rdparty\glm\glm                                                                                                                    |          8 |        204 |         54 |         78 |        336 |
| build\engine\3rdparty\glm\glm (Files)                                                                                                            |          3 |        163 |         54 |         63 |        280 |
| build\engine\3rdparty\glm\glm\CMakeFiles                                                                                                         |          5 |         41 |          0 |         15 |         56 |
| build\engine\3rdparty\glm\glm\CMakeFiles (Files)                                                                                                 |          1 |         12 |          0 |          5 |         17 |
| build\engine\3rdparty\glm\glm\CMakeFiles\glm_static.dir                                                                                          |          4 |         29 |          0 |         10 |         39 |
| build\engine\3rdparty\tinyobjloader                                                                                                              |         16 |        512 |         57 |        144 |        713 |
| build\engine\3rdparty\tinyobjloader (Files)                                                                                                      |          6 |        352 |         57 |        102 |        511 |
| build\engine\3rdparty\tinyobjloader\CMakeFiles                                                                                                   |         10 |        160 |          0 |         42 |        202 |
| build\engine\3rdparty\tinyobjloader\CMakeFiles (Files)                                                                                           |          1 |         12 |          0 |          5 |         17 |
| build\engine\3rdparty\tinyobjloader\CMakeFiles\Export                                                                                            |          2 |         97 |          0 |         18 |        115 |
| build\engine\3rdparty\tinyobjloader\CMakeFiles\Export\lib                                                                                        |          2 |         97 |          0 |         18 |        115 |
| build\engine\3rdparty\tinyobjloader\CMakeFiles\Export\lib\tinyobjloader                                                                          |          2 |         97 |          0 |         18 |        115 |
| build\engine\3rdparty\tinyobjloader\CMakeFiles\Export\lib\tinyobjloader\cmake                                                                    |          2 |         97 |          0 |         18 |        115 |
| build\engine\3rdparty\tinyobjloader\CMakeFiles\tinyobjloader.dir                                                                                 |          4 |         29 |          0 |         10 |         39 |
| build\engine\3rdparty\tinyobjloader\CMakeFiles\uninstall.dir                                                                                     |          3 |         22 |          0 |          9 |         31 |
| build\engine\CMakeFiles                                                                                                                          |          1 |         12 |          0 |          5 |         17 |
| build\engine\source                                                                                                                              |         13 |        675 |        147 |        231 |      1,053 |
| build\engine\source\editor                                                                                                                       |          6 |        264 |         63 |         94 |        421 |
| build\engine\source\editor (Files)                                                                                                               |          2 |        211 |         63 |         80 |        354 |
| build\engine\source\editor\CMakeFiles                                                                                                            |          4 |         53 |          0 |         14 |         67 |
| build\engine\source\editor\CMakeFiles (Files)                                                                                                    |          1 |         12 |          0 |          5 |         17 |
| build\engine\source\editor\CMakeFiles\SmoothEditor.dir                                                                                           |          3 |         41 |          0 |          9 |         50 |
| build\engine\source\runtime                                                                                                                      |          7 |        411 |         84 |        137 |        632 |
| build\engine\source\runtime (Files)                                                                                                              |          2 |        337 |         84 |        122 |        543 |
| build\engine\source\runtime\CMakeFiles                                                                                                           |          5 |         74 |          0 |         15 |         89 |
| build\engine\source\runtime\CMakeFiles (Files)                                                                                                   |          1 |         12 |          0 |          5 |         17 |
| build\engine\source\runtime\CMakeFiles\SmoothRuntime.dir                                                                                         |          4 |         62 |          0 |         10 |         72 |
| engine                                                                                                                                           |      1,874 |    439,988 |     69,864 |     58,402 |    568,254 |
| engine\3rdparty                                                                                                                                  |      1,840 |    438,905 |     69,798 |     58,155 |    566,858 |
| engine\3rdparty (Files)                                                                                                                          |          3 |         26 |          0 |          4 |         30 |
| engine\3rdparty\glad                                                                                                                             |          3 |      3,279 |        210 |         94 |      3,583 |
| engine\3rdparty\glad\include                                                                                                                     |          2 |      2,210 |        185 |         47 |      2,442 |
| engine\3rdparty\glad\include\KHR                                                                                                                 |          1 |        117 |        165 |         30 |        312 |
| engine\3rdparty\glad\include\glad                                                                                                                |          1 |      2,093 |         20 |         17 |      2,130 |
| engine\3rdparty\glad\src                                                                                                                         |          1 |      1,069 |         25 |         47 |      1,141 |
| engine\3rdparty\glfw                                                                                                                             |        124 |     67,021 |     16,309 |      9,640 |     92,970 |
| engine\3rdparty\glfw (Files)                                                                                                                     |          3 |        350 |          0 |         59 |        409 |
| engine\3rdparty\glfw\CMake                                                                                                                       |          9 |        164 |          0 |         40 |        204 |
| engine\3rdparty\glfw\CMake (Files)                                                                                                               |          5 |         88 |          0 |         17 |        105 |
| engine\3rdparty\glfw\CMake\modules                                                                                                               |          4 |         76 |          0 |         23 |         99 |
| engine\3rdparty\glfw\deps                                                                                                                        |         18 |     33,176 |      6,127 |      2,729 |     42,032 |
| engine\3rdparty\glfw\deps (Files)                                                                                                                |         10 |     23,389 |      5,547 |      2,324 |     31,260 |
| engine\3rdparty\glfw\deps\glad                                                                                                                   |          4 |      7,315 |        252 |        131 |      7,698 |
| engine\3rdparty\glfw\deps\mingw                                                                                                                  |          3 |      2,320 |        273 |        233 |      2,826 |
| engine\3rdparty\glfw\deps\vs2008                                                                                                                 |          1 |        152 |         55 |         41 |        248 |
| engine\3rdparty\glfw\docs                                                                                                                        |          8 |      1,581 |         37 |        215 |      1,833 |
| engine\3rdparty\glfw\examples                                                                                                                    |          9 |      2,621 |        821 |        776 |      4,218 |
| engine\3rdparty\glfw\include                                                                                                                     |          2 |        679 |      5,537 |        287 |      6,503 |
| engine\3rdparty\glfw\include\GLFW                                                                                                                |          2 |        679 |      5,537 |        287 |      6,503 |
| engine\3rdparty\glfw\src                                                                                                                         |         55 |     22,986 |      3,093 |      4,348 |     30,427 |
| engine\3rdparty\glfw\tests                                                                                                                       |         20 |      5,464 |        694 |      1,186 |      7,344 |
| engine\3rdparty\glm                                                                                                                              |      1,424 |    216,306 |     17,431 |     24,704 |    258,441 |
| engine\3rdparty\glm (Files)                                                                                                                      |          4 |      3,408 |          0 |      1,038 |      4,446 |
| engine\3rdparty\glm\cmake                                                                                                                        |          2 |         26 |          0 |          9 |         35 |
| engine\3rdparty\glm\cmake\glm                                                                                                                    |          2 |         26 |          0 |          9 |         35 |
| engine\3rdparty\glm\doc                                                                                                                          |        796 |    151,793 |      3,676 |      7,592 |    163,061 |
| engine\3rdparty\glm\doc\api                                                                                                                      |        795 |    150,579 |      3,630 |      7,355 |    161,564 |
| engine\3rdparty\glm\doc\api (Files)                                                                                                              |        607 |    143,270 |      3,129 |      7,051 |    153,450 |
| engine\3rdparty\glm\doc\api\search                                                                                                               |        188 |      7,309 |        501 |        304 |      8,114 |
| engine\3rdparty\glm\doc\theme                                                                                                                    |          1 |      1,214 |         46 |        237 |      1,497 |
| engine\3rdparty\glm\glm                                                                                                                          |        419 |     39,762 |     12,909 |     10,108 |     62,779 |
| engine\3rdparty\glm\glm (Files)                                                                                                                  |         23 |      1,713 |      1,249 |        446 |      3,408 |
| engine\3rdparty\glm\glm\detail                                                                                                                   |         61 |     16,884 |      1,101 |      3,025 |     21,010 |
| engine\3rdparty\glm\glm\ext                                                                                                                      |        163 |      3,828 |      3,774 |      1,596 |      9,198 |
| engine\3rdparty\glm\glm\gtc                                                                                                                      |         38 |      5,304 |      3,366 |      2,088 |     10,758 |
| engine\3rdparty\glm\glm\gtx                                                                                                                      |        124 |     10,614 |      3,036 |      2,640 |     16,290 |
| engine\3rdparty\glm\glm\simd                                                                                                                     |         10 |      1,419 |        383 |        313 |      2,115 |
